Sentence,Label
We will meet tomorrow. હું કાલે મળીશ.,2
I am going to buy groceries. మేము గ్రోసరీ కొనాలనుకుంటున్నాం.,3
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
I am going to the gym. मी जिमला जात आहे.,1
I am going to the store. मी स्टोअरला जात आहे.,1
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
He is my brother. वह मेरा भाई है।,0
He likes to read books. તે પુસ્તકો વાંચવાનું પસંદ કરે છે.,2
I have an exam tomorrow. મારા કુંબરિ દિવસો છે.,2
The book is interesting. ती पुस्तिका रोचक आहे.,1
Let’s go to the park. మనం పార్కుకు వెళ్ళిపోతే.,3
My house is big. મારો ઘર મોટો છે.,2
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
I went to the mall yesterday. હું ગઈકાલે મોલ પર ગયો.,2
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
This pen is mine. हा पेन्सिल माझा आहे.,1
This movie is amazing. ఈ సినిమా అద్భుతంగా ఉంది.,3
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
I need help with this. నాకు ఈతో సహాయం కావాలి.,3
I am going to the office. मैं दफ्तर जा रहा हूँ।,0
We are going to the temple. మేము ఆలయానికి వెళ్ళిపోతున్నాం.,3
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
My house is big. મારો ઘર મોટો છે.,2
"We should celebrate, अच्छा reason है।",4
We will meet tomorrow. હું કાલે મળીશ.,2
I like playing football. मी फुटबॉल खेळायला आवडतो.,1
We are having a party. અમે પાર્ટી કરી રહ્યા છીએ.,2
I am learning to cook. मैं खाना बनाना सीख रहा हूँ।,0
I am studying for exams. मैं परीक्षा की तैयारी कर रहा हूँ।,0
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
"She is very creative, हमेशा नए ideas लाती है।",4
I love this song. నాకు ఈ పాట ఎంతో ఇష్టం.,3
The book is interesting. ती पुस्तिका रोचक आहे.,1
She is a teacher. वह एक शिक्षक है।,0
I am going to buy groceries. మేము గ్రోసరీ కొనాలనుకుంటున్నాం.,3
This pen is mine. हा पेन्सिल माझा आहे.,1
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
Let’s meet at 5 PM. మనం 5 గంటలకు కలుద్దాం.,3
I have a meeting at 3 PM. મારી 3 વાગે મીટિંગ છે.,2
This pen is mine. हा पेन्सिल माझा आहे.,1
It’s a cold night. रात ठंडी है।,0
I want to learn new things. હું નવી વસ્તુઓ શીખવા માંગું છું.,2
I am going to the office. मैं दफ्तर जा रहा हूँ।,0
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
I need help with the project. હું પ્રોજેક્ટમાં મદદ કરવા માંગું છું.,2
This cake is delicious. हा केक स्वादिष्ट आहे.,1
