Sentence,Label
నేడు రాత్రి బాగా ఉంది.,3
She loved reading books in her free time.,4
મને કટરાય પીરજના ભાઈ છે.,2
त्या दिनी मी कायम स른 सांगून होतuscam.,1
तुमच्या निश्चित इच्छा पूर्ण होते.,1
నేను ఈ రోజు కాఫీ తీసుకున్నాను.,3
वह सुबह शहर में चला गया।,0
నేడు నాటికి రాత్రి ఎక్కువగా ఉంది.,3
મને તમારું સાંભાલીએ છે.,2
મારા બાપને મળતો રહ્યો છે.,2
मैं आज कान्फ्रेन्स में जा रहा हूँ।,0
મને ખુબ જ લાગે છે કે તમને એવા સમયમાં તમારી મદદ સાથે આવતા.,2
त्या दिवसी मी घरी लडका म्हणाला.,1
The sun was shining brightly in the clear blue sky.,4
The sun was shining brightly in the clear blue sky.,4
મને આજે ભારતના શિવરાત્રીનું ઉજવણ દેખવા માં આવ્યો.,2
The sun is shining brightly in the sky.,4
The sun was shining brightly in the clear blue sky.,4
तुमच्या घरात कविता लिहायची आहे का?,1
The sun was shining brightly in the clear blue sky.,4
मैं आज शहर में गया।,0
ситуации म्हणून बंद झाले!,1
वहesterday सुबह कáf.Mutable Café में गया था।,0
वे सूरज के बादलों से घिरे हुए पुल के नीचे खड़े थे।,0
నేను ఈ రోజు బోర్డులో చదవాలనుకుంటును.,3
The sun was shining brightly in the clear blue sky.,4
The sun sets slowly over the ocean horizon.,4
నేను నా కుటుంబంతో సరఫాదిలో ఉంటున్నాను.,3
तुमच्या घरी काफी सोने आहे!,1
The sun is shining brightly today.,4
મને કાફી વખત લાગ્યું છે.,2
माझा नлявा कQuaternion workstation.,1
મેં ગયા હવે ફલજિતાને મળ્યા છે.,2
The sun is shining brightly in the sky.,4
నేను పాఠశాలలో చదువుతున్నాను.,3
The sunset was breathtakingly beautiful.,4
तुमचं नाव कसे आहे?,1
मी तुमच्या घरात आलोय.,1
मैं आज सुबह कॉफी पीया हूँ।,0
ఎంతో మంది వస్తున్నారందుకు ప్రియంగా ఉంది.,3
આજની સાંજ મને ખુબ ભાલો આવી.,2
तुमच्या घराजवळ पाने लावलेली आहे.,1
त्या दिवशी मी स्टेडियमला गेलो.,1
तुमचे नाव काय आहे?,1
મને ખાણામાં આવતા બાળક એક સુખદ હોવાનું માનું છે.,2
The sun was shining brightly in the clear sky.,4
నేను ఈ రోజు బయటకు వెళ్ళాను.,3
तुमचे स्वरुप म्हणजे माझे सार.,1
The sun was shining brightly in the clear blue sky.,4
મને તમને મળી આવવું હતું પણ કરતાં કરતાં અળગુ થયા.,2
मैं आज सुबह ब्रह्मपुरी गया था।,0
મે આજે બાવલેટમાં ચા પિએ.,2
तुमचा राजकाडा माझ्या मनात काही स्थान देते.,1
मैं आज सुबह कáfी देर से उठा।,0
The sun is shining brightly in the clear blue sky.,4
నేను ఈ రోజు బయలు దేరాను.,3
હેમલટ આવી રહ્યો છે આનંદના દરબારે.,2
నేను ఈ రోజు బంధువుల సమావేశంలో వెళ్ళాను.,3
हे घरातील सगळे लहान मासे साधर्मय आहेत.,1
मैं कल स्कूल जा रहा हूँ।,0
આજે મને ખુશ લાગ્યું.,2
હું આજ સુખસાગર કાયકાલે આવી રહી છે.,2
The sun was shining brightly in the clear blue sky.,4
આ વરસે મને ખુશ થયું.,2
मैं आज सुबह काले रंग का कपड़ा लिया।,0
నేను సోమవారం వారు చూస్తారు.,3
अबारा मोर्याचे स्वागत होते.,1
అతను నగరంలో ఉండడం కోసం వచ్చాడు.,3
నేను ఈ రోజు బయటకు వెళ్లాను.,3
माझे नाव राहUL आहे.,1
The sun is shining brightly in the sky.,4
నేడు నేను తెలుసుకొన్న పుస్తకం చాలా బాగుంది.,3
અમે આજે કાફી સમય બીતો છે.,2
అతను బయటికెళ్ళాడు.,3
The sun was shining brightly in the clear blue sky.,4
तुमचे नाव काय आहे?,1
The sun was shining brightly in the sky.,4
ఆమె కాలేజీలో చదువుతోంది.,3
माझा नाव निखिल आहे.,1
मी दिवाळी सणाने माझ्याittest नातरला होता.,1
मेरी पत्नी आज कुकिंग में लगी हुई है.,0
सहा ऊज सावनात सापडला!,1
"મને ખાસ દિવસ આવ્યો છે, કારણ કે તેના દિવસે મેં મિત્રને મળ્યો છે.",2
అతను బయలుదేరాడు.,3
मैं आज शहर में घूमने जा रहा हूँ।,0
અમે આજે રાત્રે ફિલ્મ દેખાડશું.,2
The sun sets slowly over the rolling hills.,4
నేడు రాత్రి చిన్న భోజనం చేసుకుంటారు.,3
The sun is shining brightly today.,4
मैं आज सUNDAY के लिए प्र पर्याप्त करता हूँ।,0
The sun is shining brightly in the clear blue sky.,4
मैं आज कáfी सुंदर जगह पर गया।,0
The sun was shining brightly in the clear blue sky.,4
